px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor_type
8.46292	0.243462	0	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	3.35965e-322	R
8.4485	0.251375	-0.000720924	-1.00018e-17	2.60209e-18	8.44818	0.251553	8.45	0.25	-3.00027	0	0.000275949	L
8.47145	0.2488	-0.00549673	1.93468e-06	2.63952e-07	8.56759	0.241943	8.45	0.25	0	0	0.125975	R
8.46433	0.250982	-0.00839048	-1.25359e-05	-2.12239e-06	8.45582	0.253997	8.45	0.25	0	0	0.00653834	L
8.37701	0.251327	-0.949955	0.000788444	0.000245568	8.42544	0.254042	8.35	0.25	-1.81979	0	18.7324	R
8.3083	0.250664	-0.970496	0.00196179	0.000557735	8.23962	0.24916	8.25	0.25	-1.81978	0	0.313214	L
8.1044	0.240444	-1.30406	0.0861933	0.0293743	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	18.6393	R
7.99908	0.211757	-1.35165	0.200912	0.0634951	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	1.74707	L
7.82164	0.213486	-1.5618	-0.162077	-0.0854665	7.61269	0.155818	7.7	0.15	-2.99982	0	8.59652	R
7.71094	0.190827	-1.61838	0.0243085	-0.0143802	7.54016	0.159641	7.55	0.15	-2.99982	0	1.86044	L
7.59966	0.16039	-1.71937	0.163099	0.0405272	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	1.36231	R
7.48454	0.087039	-1.77432	0.411688	0.143898	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	1.45328	L
7.31736	0.152536	-2.02427	-0.171788	-0.356725	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	5.75061	R
7.1772	0.0528583	-2.11524	0.130317	-0.165306	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	1.94999	L
7.06479	-0.0266719	-2.07558	0.284731	-0.0138696	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	2.06149	R
6.93973	-0.156545	-2.14531	0.49092	0.177008	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	1.36146	L
6.82477	-0.212025	-2.23333	0.460253	0.00134387	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	1.20084	R
6.71271	-0.337148	-2.32009	0.581415	0.118468	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	1.38439	L
6.66824	-0.513964	-2.2654	0.934197	0.942135	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	4.38272	R
6.59749	-0.619313	-2.29192	0.995392	0.950922	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.137502	L
6.55577	-0.786737	-2.35928	1.22493	1.36167	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	1.36257	R
6.50722	-0.944773	-2.42618	1.31785	1.3478	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0.816316	L
6.39911	-1.01799	-2.30469	1.08636	0.598881	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	6.68384	R
6.32487	-1.15804	-2.36914	1.11526	0.565274	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0.760443	L
6.42739	-1.36086	-2.42187	1.60375	1.55656	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	30.5039	R
6.42174	-1.53055	-2.50675	1.6861	1.53112	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	1.10957	L
6.36049	-1.61106	-2.26367	1.54304	1.06597	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	10.6478	R
6.33356	-1.77412	-2.37259	1.57381	1.01195	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	2.22237	L
6.38551	-1.94625	-2.56335	1.75196	1.25012	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	7.31382	R
6.3948	-2.10851	-2.64216	1.79572	1.21478	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	1.10586	L
6.3803	-2.24542	-2.53822	1.77162	1.05255	6.32593	-2.40018	6.35	-2.4	0	-2.72613	4.08152	R
6.39246	-2.42115	-2.61734	1.80485	1.01458	6.34927	-2.55175	6.35	-2.55	0	-2.72611	1.11109	L
6.43862	-2.58721	-2.71256	1.87654	1.04372	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	1.02565	R
6.47057	-2.75664	-2.76585	1.91287	1.01613	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	0.529795	L
6.47991	-2.88174	-2.6564	1.91013	0.932022	6.46536	-3.00452	6.45	-3	0	-2.99754	2.92276	R
6.50217	-3.04298	-2.71903	1.9266	0.896075	6.44119	-3.14955	6.45	-3.15	0	-2.99754	0.912864	L
6.5569	-3.20361	-2.78641	1.97349	0.897497	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	0.564449	R
6.59826	-3.37367	-2.83396	1.99679	0.86856	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	0.603291	L
6.67913	-3.53777	-2.95228	2.05548	0.889736	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	1.34059	R
6.75386	-3.69724	-2.98056	2.0951	0.878922	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	0.192378	L
6.81639	-3.82929	-2.87445	2.12399	0.84997	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	1.53994	R
6.88752	-3.98766	-2.90711	2.15149	0.829586	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	0.353065	L
6.95045	-4.11197	-2.79605	2.17766	0.803251	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	1.58762	R
7.01371	-4.2682	-2.82605	2.19292	0.774012	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	0.673514	L
7.05998	-4.36299	-2.55296	2.21048	0.73607	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	7.66015	R
